symbol, avg_price, max_change, avg_atr, stddev_atr, avg_volume
DRTX, 7.6650, 0.1459, 0.0299, 0.0245, 851.0000
DRU, 26.9873, 0.0184, 0.0161, 0.0077, 663.0000
DRV, 16.7472, 0.0597, 0.0281, 0.0121, 1142.0000
DRWI, 2.4019, 0.4333, 0.0101, 0.0056, 2187.0000
DRW, 29.8740, 0.0647, 0.0330, 0.0156, 717.0000
DRYS, 1.8914, 0.8091, 0.0040, 0.0059, 13354.0000
DSCI, 12.2126, 0.0829, 0.0329, 0.0178, 780.0000
DSCO, 1.8408, 0.1130, 0.0044, 0.0022, 2117.0000
DSLV, 43.1514, 0.2658, 0.1072, 0.0811, 1173.0000
DSL, 23.7063, 0.0228, 0.0172, 0.0105, 1817.0000
DSM, 8.9059, 0.0182, 0.0070, 0.0029, 1094.0000
DSPG, 7.4225, 0.1765, 0.0187, 0.0099, 611.0000
DSS, 2.3832, 0.0818, 0.0102, 0.0056, 1874.0000
DST, 68.5392, 0.0366, 0.0285, 0.0148, 946.0000
DSU, 4.3626, 0.0246, 0.0032, 0.0015, 1925.0000
DSW, 72.0422, 0.0220, 0.0404, 0.0164, 1208.0000
DSX, 9.9584, 0.0365, 0.0090, 0.0044, 2607.0000
DTD, 58.3354, 0.0188, 0.0470, 0.0197, 620.0000
DTE, 68.0294, 0.0152, 0.0279, 0.0132, 2156.0000
DTF, 16.5198, 0.0288, 0.0252, 0.0112, 658.0000
DTK, 27.4061, 0.0164, 0.0119, 0.0054, 993.0000
DTLK, 10.3283, 0.1062, 0.0201, 0.0086, 653.0000
DTN, 60.2699, 0.0178, 0.0254, 0.0098, 926.0000
DTO, 40.6860, 0.0567, 0.0489, 0.0155, 1500.0000
DTQ, 25.2548, 0.0241, 0.0290, 0.0222, 694.0000
DTSI, 18.9509, 0.1039, 0.0301, 0.0127, 517.0000
DTT, 25.2802, 0.0160, 0.0105, 0.0051, 764.0000
DTV, 63.0564, 0.0411, 0.0259, 0.0124, 8427.0000
DTZ, 27.0298, 0.0241, 0.0389, 0.0194, 532.0000
DUA, 25.1509, 0.0161, 0.0108, 0.0062, 668.0000
DUC, 11.9200, 0.0220, 0.0127, 0.0051, 777.0000
DUF, 14.9517, 0.1945, 0.0056, 0.0051, 2131.0000
DUG, 29.2869, 2.9507, 0.0287, 0.0592, 1839.0000
DUKH, 24.9634, 0.0178, 0.0152, 0.0144, 1456.0000
DUK, 68.7235, 0.0209, 0.0269, 0.0121, 7102.0000
DUST, 101.3088, 0.1674, 0.2807, 0.1555, 2378.0000
DVAX, 1.7160, 0.2794, 0.0038, 0.0017, 9545.0000
DVA, 123.5797, 0.0583, 0.0588, 0.0324, 2241.0000
DVM, 14.5200, 0.0190, 0.0170, 0.0096, 541.0000
DVN, 56.1404, 0.0228, 0.0269, 0.0127, 7028.0000
DVOX, 0.3809, 0.3586, 0.0050, 0.0031, 3105.0000
DVR, 1.9243, 0.2909, 0.0041, 0.0017, 3042.0000
DVYE, 53.0065, 0.0265, 0.0437, 0.0191, 598.0000
DVY, 65.4540, 0.0105, 0.0165, 0.0073, 3000.0000
DV, 30.2125, 0.0226, 0.0206, 0.0092, 1532.0000
DWAS, 32.2601, 0.0442, 0.0279, 0.0153, 1231.0000
DWA, 23.4200, 0.0522, 0.0155, 0.0083, 2357.0000
DWCH, 14.2663, 0.1423, 0.0659, 0.0308, 455.0000
DWM, 47.7881, 0.0448, 0.0407, 0.0176, 786.0000
DWRE, 33.8873, 0.0292, 0.0302, 0.0134, 1011.0000
DWSN, 31.5224, 0.0567, 0.0632, 0.0222, 413.0000
DWX, 47.5780, 0.0263, 0.0229, 0.0097, 1167.0000
DW, 37.6485, 0.0325, 0.0368, 0.0132, 552.0000
DXB, 26.1770, 0.0178, 0.0175, 0.0077, 584.0000
DXCM, 20.8445, 0.0526, 0.0172, 0.0085, 1937.0000
DXD, 34.5811, 0.0206, 0.0177, 0.0078, 2694.0000
DXJ, 47.4242, 0.0851, 0.0208, 0.0146, 21701.0000
DXLG, 5.3157, 0.1459, 0.0079, 0.0041, 1252.0000
DXM, 17.6069, 0.0879, 0.0395, 0.0278, 1546.0000
DXPE, 65.2016, 0.1691, 0.0790, 0.0347, 588.0000
DXYN, 6.5618, 0.4143, 0.0363, 0.0190, 786.0000
DX, 10.3502, 0.0206, 0.0071, 0.0030, 1605.0000
DYAX, 3.2335, 0.1405, 0.0050, 0.0027, 2760.0000
DYN, 22.9453, 0.0169, 0.0150, 0.0069, 1766.0000
DY, 21.4996, 0.1599, 0.0220, 0.0102, 751.0000
DZZ, 6.0177, 0.0898, 0.0063, 0.0030, 4380.0000
D, 57.6200, 0.0318, 0.0236, 0.0112, 6047.0000
EAA, 26.1355, 0.0313, 0.0338, 0.0159, 452.0000
EAB, 24.2963, 0.0456, 0.0250, 0.0231, 737.0000
EAC, 19.5048, 0.1323, 0.0525, 0.0238, 863.0000
EAD, 9.8629, 0.0142, 0.0061, 0.0026, 1349.0000
EARN, 17.6779, 0.0323, 0.0236, 0.0130, 812.0000
EAT, 40.2474, 0.0147, 0.0175, 0.0087, 2853.0000
EA, 23.0181, 0.0749, 0.0156, 0.0089, 10896.0000
EBAY, 53.6048, 0.0673, 0.0249, 0.0122, 25815.0000
EBF, 15.9167, 0.0291, 0.0263, 0.0103, 499.0000
EBIX, 15.6871, 0.4863, 0.0141, 0.0183, 4768.0000
EBND, 31.7354, 0.0247, 0.0222, 0.0117, 1098.0000
EBR.B, 4.9645, 0.1230, 0.0080, 0.0031, 1387.0000
EBR, 2.3988, 0.0644, 0.0043, 0.0014, 3456.0000
EBS, 14.7712, 0.0781, 0.0144, 0.0071, 755.0000
ECA, 17.9864, 0.0273, 0.0104, 0.0047, 10667.0000
ECF, 7.5239, 0.0191, 0.0085, 0.0043, 573.0000
ECHO, 19.3338, 0.0655, 0.0223, 0.0098, 875.0000
ECH, 59.6048, 0.0211, 0.0338, 0.0164, 1136.0000
ECL, 87.3231, 0.0104, 0.0296, 0.0127, 2675.0000
ECOL, 26.3075, 0.0482, 0.0383, 0.0128, 473.0000
ECOM, 16.5087, 0.0343, 0.0258, 0.0108, 889.0000
ECON, 26.4734, 0.0255, 0.0126, 0.0057, 1656.0000
ECPG, 32.7489, 0.0286, 0.0263, 0.0113, 1004.0000
ECTE, 1.3516, 7.8101, 0.0062, 0.0103, 2148.0000
ECTY, 1.4257, 9.0000, 0.0090, 0.0086, 4087.0000
ECT, 13.4307, 0.2151, 0.0268, 0.0123, 1067.0000
ECYT, 14.1214, 0.0695, 0.0195, 0.0096, 1086.0000
EC, 44.0096, 0.0301, 0.0229, 0.0102, 1594.0000
EDAP, 3.4079, 0.8182, 0.0186, 0.0090, 2331.0000
EDC, 27.4705, 0.1030, 0.0270, 0.0114, 2398.0000
EDD, 16.0107, 0.0214, 0.0102, 0.0042, 1343.0000
EDE, 22.4347, 0.0123, 0.0143, 0.0055, 681.0000
EDF, 23.9090, 0.0295, 0.0319, 0.0147, 714.0000
EDG, 7.2721, 0.1068, 0.0137, 0.0060, 775.0000
EDIV, 44.0473, 0.0321, 0.0202, 0.0081, 914.0000
EDI, 23.6212, 0.0292, 0.0210, 0.0117, 761.0000
EDMC, 4.8987, 0.2439, 0.0155, 0.0088, 811.0000
EDR, 10.5361, 0.0145, 0.0060, 0.0025, 3012.0000
EDU, 21.5821, 0.0252, 0.0142, 0.0079, 4757.0000
EDV, 112.4716, 0.0515, 0.1286, 0.0483, 601.0000
EDZ, 54.6388, 0.1063, 0.0564, 0.0337, 1778.0000
ED, 58.4956, 0.0141, 0.0226, 0.0105, 4198.0000
EEB, 34.3622, 0.0316, 0.0224, 0.0091, 654.0000
EEFT, 30.5716, 0.0449, 0.0253, 0.0108, 1027.0000
EELV, 28.3386, 0.0255, 0.0229, 0.0124, 960.0000
EEMV, 59.6687, 0.0269, 0.0188, 0.0101, 1963.0000
EEM, 40.1517, 0.0357, 0.0121, 0.0063, 162752.0000
EEP, 30.5672, 0.0190, 0.0161, 0.0065, 2441.0000
EEQ, 29.9595, 0.0118, 0.0170, 0.0069, 841.0000
EES, 64.6794, 0.0298, 0.0722, 0.0304, 508.0000
EEV, 23.7962, 0.0711, 0.0220, 0.0096, 1332.0000
EE, 35.9223, 0.0270, 0.0228, 0.0108, 680.0000
EFAV, 58.1150, 0.0258, 0.0277, 0.0135, 965.0000
EFA, 60.2463, 0.0251, 0.0148, 0.0088, 43529.0000
EFC, 24.4392, 0.0539, 0.0187, 0.0089, 1020.0000
EFG, 62.4403, 0.0262, 0.0333, 0.0130, 879.0000
EFII, 27.4740, 0.0444, 0.0202, 0.0105, 908.0000
EFR, 16.7478, 0.0170, 0.0101, 0.0041, 1003.0000
EFSC, 14.6642, 0.0678, 0.0388, 0.0145, 576.0000
EFT, 17.0458, 0.0261, 0.0106, 0.0046, 1013.0000
EFV, 50.5779, 0.0282, 0.0252, 0.0110, 1455.0000
EFX, 61.0329, 0.0208, 0.0209, 0.0104, 1524.0000
EFZ, 39.8996, 0.0358, 0.0216, 0.0127, 1330.0000
EGAN, 8.3006, 0.1226, 0.0193, 0.0120, 812.0000
EGAS, 10.0824, 0.0673, 0.0261, 0.0116, 685.0000
EGBN, 22.2041, 0.0754, 0.0383, 0.0133, 557.0000
EGF, 15.0808, 0.0260, 0.0114, 0.0052, 691.0000
EGHT, 7.9718, 0.1268, 0.0079, 0.0044, 2350.0000
EGI, 0.4046, 0.1429, 0.0041, 0.0019, 2931.0000
EGLE, 3.7353, 0.2871, 0.0121, 0.0076, 2792.0000
EGL, 24.3831, 0.1230, 0.0338, 0.0141, 579.0000
EGN, 53.4706, 0.0176, 0.0301, 0.0130, 1545.0000
EGOV, 17.0772, 0.0958, 0.0135, 0.0075, 1281.0000
EGO, 7.0106, 6.9233, 0.0129, 0.1090, 13001.0000
EGPT, 15.3362, 2.9630, 0.0292, 0.0505, 1032.0000
EGP, 60.0370, 0.0807, 0.0408, 0.0206, 730.0000
EGY, 6.2421, 0.0387, 0.0075, 0.0031, 1400.0000
EHI, 13.4504, 0.0301, 0.0096, 0.0041, 930.0000
EHTH, 21.8173, 0.1708, 0.0243, 0.0142, 920.0000
EIDO, 33.0322, 0.0415, 0.0160, 0.0105, 1637.0000
EIG, 23.4132, 0.0468, 0.0223, 0.0076, 546.0000
EIM, 13.2331, 0.0286, 0.0097, 0.0040, 1289.0000
EIRL, 27.6205, 0.0344, 0.0419, 0.0195, 626.0000
EIV, 12.9495, 0.0397, 0.0206, 0.0090, 707.0000
EIX, 47.7028, 0.0129, 0.0197, 0.0091, 6595.0000
EJ, 4.5784, 0.0849, 0.0077, 0.0037, 1020.0000
ELD, 50.6785, 0.0197, 0.0183, 0.0106, 1910.0000
ELGX, 14.0750, 0.0539, 0.0118, 0.0059, 1753.0000
ELJ, 24.8059, 0.0266, 0.0319, 0.0171, 532.0000
ELLI, 23.7768, 0.0438, 0.0230, 0.0095, 1405.0000
ELNK, 6.0858, 0.1765, 0.0049, 0.0040, 2540.0000
ELN, 13.2590, 0.0823, 0.0067, 0.0049, 28373.0000
ELON, 2.3647, 0.1189, 0.0066, 0.0028, 1138.0000
ELOQ, 21.9159, 0.3082, 0.0184, 0.0211, 1744.0000
ELOS, 9.2126, 0.1960, 0.0156, 0.0070, 977.0000
ELP, 15.3513, 0.1189, 0.0135, 0.0053, 1416.0000
ELRC, 16.5491, 0.0856, 0.0338, 0.0141, 515.0000
ELS, 75.4976, 0.5015, 0.0457, 0.0526, 827.0000
ELX, 6.7220, 0.1725, 0.0058, 0.0053, 2394.0000
ELY, 6.6671, 0.0354, 0.0053, 0.0021, 1664.0000
EL, 68.1240, 0.0160, 0.0298, 0.0127, 3799.0000
EMAN, 3.4862, 0.0840, 0.0141, 0.0057, 1032.0000
EMB, 113.5588, 0.0295, 0.0286, 0.0215, 3030.0000
EMCB, 78.2846, 0.0208, 0.0605, 0.0376, 604.0000
EMCI, 26.2792, 0.0865, 0.0915, 0.0350, 331.0000
EMC, 24.4772, 0.0774, 0.0119, 0.0069, 51095.0000
EMD, 14.7761, 0.0220, 0.0118, 0.0053, 733.0000
EMES, 20.1772, 0.0333, 0.0299, 0.0162, 1093.0000
EME, 39.8271, 0.0304, 0.0270, 0.0122, 936.0000
EMF, 19.5379, 0.0276, 0.0212, 0.0080, 777.0000
EMHY, 53.8439, 0.0345, 0.0648, 0.0422, 776.0000
EMKR, 4.3889, 0.2903, 0.0082, 0.0044, 1329.0000
EMLC, 25.9705, 0.0268, 0.0104, 0.0064, 2306.0000
EMLP, 22.9088, 0.0134, 0.0119, 0.0054, 1364.0000
EML, 15.7845, 0.0665, 0.0708, 0.0259, 452.0000
EMMS, 1.9753, 0.8091, 0.0080, 0.0057, 2190.0000
EMN, 71.8762, 0.0193, 0.0383, 0.0170, 3179.0000
EMO, 22.7436, 0.0303, 0.0236, 0.0102, 760.0000
EMR, 57.2245, 0.0192, 0.0228, 0.0104, 7393.0000
EMXX, 1.7076, 0.0714, 0.0071, 0.0024, 1950.0000
ENB, 44.2617, 0.0263, 0.0177, 0.0074, 2651.0000
ENDP, 37.1133, 0.0498, 0.0201, 0.0129, 4731.0000
END, 3.3677, 0.0724, 0.0071, 0.0033, 1906.0000
ENG, 0.7223, 8.9000, 0.0089, 0.0063, 2076.0000
ENH, 50.0497, 0.0216, 0.0221, 0.0107, 1019.0000
ENI, 16.8560, 0.0184, 0.0080, 0.0040, 1844.0000
ENL, 31.9834, 0.0393, 0.0233, 0.0082, 411.0000
ENMD, 2.1224, 0.8091, 0.0161, 0.0085, 1527.0000
ENOC, 15.3184, 0.0914, 0.0182, 0.0084, 1182.0000
ENPH, 7.2045, 0.1239, 0.0189, 0.0090, 1384.0000
ENR, 100.1769, 0.0209, 0.0472, 0.0213, 1331.0000
ENSG, 32.8101, 0.0586, 0.0440, 0.0163, 478.0000
ENS, 48.6382, 0.0418, 0.0306, 0.0128, 905.0000
ENTA, 18.9370, 0.0758, 0.0654, 0.0366, 616.0000
ENTG, 9.7747, 0.0989, 0.0070, 0.0057, 2197.0000
ENTR, 4.2579, 0.1368, 0.0051, 0.0022, 2255.0000
ENT, 10.0197, 0.1057, 0.0284, 0.0222, 1134.0000
ENVI, 1.8877, 0.8182, 0.0069, 0.0042, 1270.0000
ENV, 20.5643, 0.0276, 0.0249, 0.0130, 886.0000
ENX, 13.5081, 0.0271, 0.0148, 0.0064, 623.0000
ENZL, 36.3090, 0.0316, 0.0263, 0.0126, 874.0000
ENZN, 3.0042, 0.8182, 0.0052, 0.0069, 1522.0000
ENZ, 2.4578, 0.0940, 0.0091, 0.0040, 1148.0000
EOC, 49.0686, 0.0202, 0.0349, 0.0150, 583.0000
EOD, 7.8398, 0.0361, 0.0055, 0.0024, 1329.0000
EOG, 136.0059, 0.0226, 0.0794, 0.0352, 4069.0000
EOI, 11.5635, 0.0159, 0.0061, 0.0023, 1190.0000
EOPN, 17.3468, 0.2461, 0.0321, 0.0160, 1073.0000
EOS, 11.3202, 0.0146, 0.0064, 0.0024, 1226.0000
EOT, 21.4665, 0.0272, 0.0229, 0.0103, 687.0000
EOX, 6.5959, 0.0895, 0.0099, 0.0052, 1446.0000
EPAM, 24.7926, 0.0221, 0.0225, 0.0097, 1046.0000
EPAY, 27.1324, 1259.5000, 0.0274, 0.0573, 841.0000
EPB, 42.7211, 0.0120, 0.0234, 0.0093, 1339.0000
EPD, 61.5266, 0.0157, 0.0275, 0.0113, 3213.0000
EPHC, 27.4789, 0.2693, 0.0083, 0.0156, 1960.0000
EPHE, 38.5804, 0.0542, 0.0194, 0.0128, 1456.0000
EPIQ, 13.0113, 0.0549, 0.0157, 0.0066, 665.0000
EPI, 17.3884, 0.0358, 0.0061, 0.0031, 8774.0000
EPL, 31.1523, 0.0255, 0.0286, 0.0112, 1134.0000
EPM, 9.9282, 0.0413, 0.0171, 0.0079, 663.0000
EPOC, 10.9489, 0.2271, 0.0087, 0.0106, 3104.0000
EPOL, 26.5942, 0.0358, 0.0178, 0.0074, 1227.0000
EPP, 46.6839, 0.0287, 0.0130, 0.0066, 3522.0000
EPR, 53.6095, 0.0793, 0.0393, 0.0184, 1103.0000
EPU, 40.8810, 0.0285, 0.0212, 0.0143, 1204.0000
EPV, 24.4830, 0.0506, 0.0221, 0.0086, 1061.0000
EPZM, 32.9701, 0.0475, 0.0985, 0.0413, 1023.0000
EQIX, 200.3653, 0.0640, 0.1247, 0.0563, 3033.0000
EQM, 43.3888, 0.0627, 0.0607, 0.0266, 1269.0000
EQR, 57.7135, 0.0158, 0.0278, 0.0147, 5600.0000
EQT, 80.3735, 0.0152, 0.0426, 0.0209, 3055.0000
EQU, 3.5562, 0.0969, 0.0068, 0.0029, 959.0000
EQY, 24.0235, 0.0173, 0.0128, 0.0062, 1315.0000
ERA, 23.5383, 0.0404, 0.0342, 0.0188, 803.0000
ERC, 15.8615, 0.0173, 0.0094, 0.0041, 885.0000
ERF, 15.2708, 0.0281, 0.0104, 0.0040, 2344.0000
ERH, 11.7970, 0.0170, 0.0146, 0.0064, 705.0000
ERIC, 11.7757, 0.0402, 0.0052, 0.0021, 7674.0000
ERIE, 73.8211, 0.0468, 0.0991, 0.0445, 348.0000
ERII, 3.9795, 0.2935, 0.0097, 0.0060, 1135.0000
ERJ, 36.7332, 0.0380, 0.0241, 0.0098, 2673.0000
EROC, 8.5869, 0.1254, 0.0090, 0.0052, 2563.0000
ERUS, 21.8123, 0.0304, 0.0107, 0.0051, 3861.0000
ERX, 67.1140, 0.9044, 0.0835, 0.0700, 1912.0000
ERY, 31.2690, 0.0449, 0.0413, 0.0167, 2340.0000
ESC, 24.9165, 0.0219, 0.0182, 0.0088, 1193.0000
ESD, 20.5703, 0.0233, 0.0157, 0.0066, 867.0000
ESEA, 1.0376, 9.0000, 0.0094, 0.0158, 2760.0000
ESE, 37.0713, 0.0410, 0.0344, 0.0129, 531.0000
ESGR, 124.7413, 0.0330, 0.2170, 0.0931, 360.0000
ESIO, 10.8279, 0.0881, 0.0147, 0.0071, 643.0000
ESI, 24.3995, 0.0693, 0.0364, 0.0187, 1997.0000
ESL, 75.1625, 0.0223, 0.0603, 0.0205, 737.0000
ESRX, 63.0905, 0.0212, 0.0263, 0.0134, 10108.0000
ESSX, 3.9745, 0.0912, 0.0227, 0.0107, 635.0000
ESS, 159.1646, 0.0182, 0.0991, 0.0450, 839.0000
ESV, 59.8499, 0.0170, 0.0295, 0.0135, 3945.0000
ES, 3.9674, 0.1072, 0.0032, 0.0014, 3291.0000
ETAK, 1.0219, 0.1867, 0.0050, 0.0026, 2149.0000
ETB, 14.5031, 0.1656, 0.0124, 0.0080, 817.0000
ETE, 59.5391, 0.0170, 0.0348, 0.0173, 3252.0000
ETFC, 12.2617, 0.0744, 0.0083, 0.0045, 9593.0000
ETG, 15.6782, 0.0237, 0.0116, 0.0041, 1290.0000
ETH, 30.6397, 0.1212, 0.0304, 0.0151, 926.0000
ETJ, 11.0371, 0.0137, 0.0054, 0.0020, 1544.0000
ETM, 8.3036, 0.0978, 0.0190, 0.0084, 569.0000
ETN, 66.3240, 0.0210, 0.0297, 0.0138, 6690.0000
ETO, 22.1767, 0.0159, 0.0148, 0.0073, 634.0000
ETP, 50.2560, 0.0197, 0.0231, 0.0105, 3403.0000
ETRM, 1.0144, 9.2000, 0.0069, 0.0343, 2498.0000
ETR, 69.3816, 0.0123, 0.0320, 0.0142, 2769.0000
ETV, 13.1411, 0.0256, 0.0069, 0.0033, 1306.0000
ETW, 11.3171, 0.0186, 0.0064, 0.0025, 1758.0000
ETY, 10.3854, 0.0588, 0.0050, 0.0020, 2132.0000
ET, 27.1088, 0.5258, 0.0126, 0.0173, 5141.0000
EUFN, 20.5106, 0.0458, 0.0265, 0.0131, 1376.0000
EUM, 28.2546, 0.0387, 0.0137, 0.0067, 1718.0000
EUO, 19.2503, 0.0264, 0.0072, 0.0028, 3324.0000
EVC, 5.5191, 0.0381, 0.0079, 0.0036, 4009.0000
EVEP, 39.8753, 0.1140, 0.0473, 0.0210, 1557.0000
EVER, 16.1466, 0.0576, 0.0106, 0.0048, 2029.0000
EVF, 7.5710, 0.0240, 0.0055, 0.0028, 879.0000
EVG, 16.9241, 0.0196, 0.0121, 0.0059, 714.0000
EVM, 11.9468, 0.0150, 0.0095, 0.0040, 802.0000
EVN, 13.4937, 0.0239, 0.0146, 0.0071, 1048.0000
EVOL, 6.3852, 0.1784, 0.0224, 0.0117, 787.0000
EVR, 39.7519, 0.0386, 0.0294, 0.0137, 1485.0000
EVTC, 21.1417, 0.0252, 0.0171, 0.0095, 1573.0000
EVT, 18.7681, 0.0252, 0.0094, 0.0040, 1018.0000
EVV, 16.4822, 0.0649, 0.0086, 0.0049, 1348.0000
EV, 40.3982, 0.0315, 0.0212, 0.0103, 1757.0000
EWA, 24.5568, 0.0351, 0.0081, 0.0039, 5934.0000
EWBC, 27.0904, 0.0367, 0.0115, 0.0061, 2702.0000
EWC, 27.4907, 0.0212, 0.0080, 0.0034, 5569.0000
EWD, 32.0001, 0.0340, 0.0176, 0.0072, 1440.0000
EWG, 25.8403, 0.0221, 0.0080, 0.0037, 9936.0000
EWH, 19.4750, 0.0287, 0.0060, 0.0029, 8988.0000
EWI, 12.8071, 0.0271, 0.0059, 0.0024, 5531.0000
EWJ, 11.4558, 0.0750, 0.0055, 0.0027, 129413.0000
EWK, 14.1192, 0.0313, 0.0091, 0.0056, 1057.0000
EWL, 29.7388, 0.0213, 0.0099, 0.0041, 1952.0000
EWM, 15.9466, 0.0581, 0.0051, 0.0026, 5009.0000
EWN, 20.9842, 0.0272, 0.0124, 0.0056, 1694.0000
EWO, 17.7396, 0.0450, 0.0117, 0.0063, 1326.0000
EWP, 29.8155, 0.0330, 0.0172, 0.0072, 2774.0000
EWQ, 24.2910, 0.0269, 0.0097, 0.0043, 3540.0000
EWS, 13.6126, 0.0327, 0.0048, 0.0021, 6052.0000
EWT, 13.6800, 0.0319, 0.0046, 0.0021, 13768.0000
EWU, 18.6707, 0.0189, 0.0056, 0.0022, 5633.0000
EWV, 21.6960, 0.1515, 0.0431, 0.0251, 1089.0000
EWW, 66.2795, 0.0236, 0.0263, 0.0115, 9361.0000
EWX, 47.1750, 0.0323, 0.0291, 0.0150, 1083.0000
EWY, 55.4203, 0.0413, 0.0160, 0.0095, 5541.0000
EWZ, 47.7989, 0.0412, 0.0228, 0.0100, 37412.0000
EW, 67.4064, 0.0423, 0.0380, 0.0180, 3238.0000
EXAC, 18.6030, 0.0463, 0.0518, 0.0203, 504.0000
EXAM, 19.0188, 0.0377, 0.0179, 0.0079, 974.0000
EXAR, 11.1299, 0.0744, 0.0138, 0.0055, 711.0000
EXAS, 12.3686, 0.0672, 0.0126, 0.0062, 3606.0000
EXA, 9.2241, 0.2034, 0.0355, 0.0257, 691.0000
EXC, 31.8753, 0.0632, 0.0146, 0.0072, 14765.0000
EXD, 17.2596, 0.0269, 0.0209, 0.0108, 801.0000
EXEL, 4.7829, 0.0242, 0.0050, 0.0019, 4276.0000
EXG, 9.5606, 0.0224, 0.0048, 0.0015, 3440.0000
EXH, 28.9230, 0.0420, 0.0208, 0.0096, 1496.0000
EXI, 58.6573, 0.0233, 0.0459, 0.0250, 993.0000
EXK, 3.9171, 0.0654, 0.0066, 0.0026, 3308.0000
EXLP, 28.3054, 0.0355, 0.0433, 0.0181, 854.0000
EXLS, 30.6374, 0.0392, 0.0288, 0.0123, 735.0000
EXL, 13.7710, 0.0381, 0.0110, 0.0054, 845.0000
EXM, 0.6460, 0.1395, 0.0036, 0.0021, 6299.0000
EXPD, 38.9254, 0.0239, 0.0161, 0.0079, 3420.0000
EXPE, 59.9698, 0.0157, 0.0319, 0.0131, 6040.0000
EXPO, 54.4812, 0.0409, 0.0799, 0.0348, 434.0000
EXPR, 20.8598, 0.0915, 0.0145, 0.0075, 2767.0000
EXP, 70.4349, 0.0299, 0.0532, 0.0252, 1986.0000
EXR, 43.0655, 0.0135, 0.0224, 0.0124, 1976.0000
EXTR, 3.4638, 0.0877, 0.0036, 0.0016, 2476.0000
EXXI, 25.1142, 0.1357, 0.0198, 0.0101, 3416.0000
EZA, 61.0396, 0.0331, 0.0316, 0.0144, 1701.0000
EZCH, 25.5028, 0.0405, 0.0293, 0.0133, 1064.0000
EZJ, 76.7147, 0.1418, 0.1586, 0.0678, 527.0000
EZM, 69.6213, 0.0455, 0.0714, 0.0302, 497.0000
EZPW, 18.5264, 0.0770, 0.0173, 0.0077, 1215.0000
EZU, 34.2891, 0.0256, 0.0113, 0.0055, 5514.0000
E, 44.8947, 0.0347, 0.0188, 0.0094, 1034.0000
F.W, 2.4101, 0.0824, 0.0080, 0.0027, 11274.0000
FAF, 23.2334, 0.0194, 0.0126, 0.0055, 2585.0000
FALC, 1.8443, 9.1000, 0.0065, 0.0065, 1453.0000
FAM, 17.0846, 0.0275, 0.0157, 0.0062, 760.0000
FANG, 32.4375, 0.0591, 0.0455, 0.0205, 1425.0000
FARM, 13.7636, 0.0687, 0.0333, 0.0145, 550.0000
FARO, 38.0916, 0.1806, 0.0453, 0.0208, 756.0000
FAST, 48.2574, 0.0174, 0.0240, 0.0104, 4413.0000
FAS, 67.7376, 0.0428, 0.0593, 0.0308, 19785.0000
FAV, 8.0853, 0.0271, 0.0109, 0.0047, 1015.0000
FAX, 6.7341, 0.0230, 0.0049, 0.0016, 5179.0000
FAZ, 32.3035, 0.0430, 0.0293, 0.0168, 18350.0000
FBC, 13.8730, 0.0536, 0.0141, 0.0064, 1538.0000
FBG, 32.0838, 2.6808, 0.0451, 0.0817, 919.0000
FBHS, 40.7001, 0.0264, 0.0280, 0.0147, 3319.0000
FBNC, 13.3963, 0.0827, 0.0308, 0.0121, 565.0000
FBNK, 14.2824, 0.0362, 0.0208, 0.0099, 763.0000
FBN, 1.8152, 5.8687, 0.0070, 0.0098, 2697.0000
FBP, 6.6549, 0.0283, 0.0069, 0.0030, 1323.0000
FBRC, 15.0868, 3.1096, 0.0311, 0.0331, 761.0000
FBR, 11.0145, 0.0367, 0.0094, 0.0035, 3801.0000
FBT, 55.1258, 0.0293, 0.0386, 0.0165, 813.0000
FB, 25.0725, 0.2731, 0.0163, 0.0129, 98584.0000
FCAL, 8.0004, 0.1197, 0.0087, 0.0059, 840.0000
FCBC, 15.6471, 0.0523, 0.0305, 0.0129, 560.0000
FCE.A, 18.6265, 0.0165, 0.0102, 0.0051, 2930.0000
FCEL, 1.2628, 0.1324, 0.0040, 0.0015, 8893.0000
FCFS, 53.6061, 0.1121, 0.0445, 0.0214, 829.0000
FCF, 7.3195, 0.0494, 0.0049, 0.0021, 1328.0000
FCG, 16.6106, 0.0250, 0.0095, 0.0038, 2635.0000
FCH, 5.9945, 0.0521, 0.0059, 0.0028, 2156.0000
FCNCA, 185.5961, 0.0296, 0.3160, 0.1215, 331.0000
FCN, 34.9712, 0.0184, 0.0255, 0.0101, 814.0000
FCO, 12.8719, 0.0316, 0.0175, 0.0081, 716.0000
FCSC, 5.7660, 0.0700, 0.0152, 0.0103, 763.0000
FCS, 13.9656, 0.0601, 0.0101, 0.0047, 4053.0000
FCT, 15.7744, 0.0181, 0.0190, 0.0079, 949.0000
FCX, 29.5611, 0.0472, 0.0181, 0.0088, 35770.0000
FC, 13.9059, 0.0552, 0.0274, 0.0129, 622.0000
FDEF, 22.2310, 0.0470, 0.0675, 0.0287, 430.0000
FDI, 15.6735, 0.0359, 0.0196, 0.0084, 605.0000
FDL, 20.6009, 0.0117, 0.0082, 0.0031, 1510.0000
FDML, 8.9329, 0.0989, 0.0142, 0.0082, 1276.0000
FDN, 44.6727, 0.0204, 0.0208, 0.0081, 836.0000
FDO, 63.9931, 0.0314, 0.0296, 0.0149, 3615.0000
